code,name,status,index_name,updated,methodology_family,review_frequency,review_months,rebalance_timing,selection_count,weighting_scheme,weight_cap,has_free_float_adjustment,has_market_cap_screen,has_liquidity_screen,has_keyword_filter,has_fics_filter,pdf_page_count,pdf_text_chars,source_url,file_path,error
0182R0,1Q K반도체TOP2+,downloaded,FnGuide AI Semiconductor TOP2+ Index,April 2026,keyword_theme,semiannual,"6,12",선물옵션 만기일(D) 이후 2영업일째(D+2)에 정기변경을 수행합니다,2,float_market_cap_weighted,25%,True,True,True,True,True,17,22577,https://file.fnguide.com/fnindex/files/FnGuide_AI_Semiconductor_TOP2_Index_Methodology_Book_(20260406)_v2.5.pdf,etfs\raw\methodologies\0182R0_2dc046e4ab51.pdf,
0103T0,1Q K소버린AI,downloaded,FnGuide AI Semiconductor TOP3 Plus Price Return Index,September 2023,keyword_theme,quarterly,"3,6,9,12",선물옵션 만기일(D) 이후 2영업일째(D+2)에 정기 개편을 수행합니다,3,equal_weighted,,True,True,True,False,True,17,23213,https://file.fnguide.com/fnindex/files/FnGuide_AI_Semiconductor_TOP3_Plus_Price_Return_Index_Methodology_Book_(20230920)_v1.5.pdf,etfs\raw\methodologies\0103T0_466c302826ee.pdf,
385600,ACE 2차전지&친환경차액티브,downloaded,FnGuide Secondary Battery Industry Index,April 2023,keyword_theme,quarterly,"3,6,9,12",선물옵션 만기일 익주 첫 번째 영업일부터 세 번째 영업일까지 정기 변경을 수행합니다,25,score_weighted,20%,True,True,True,True,False,13,15188,https://file.fnguide.com/fnindex/files/FnGuide_Secondary_Battery_Industry_Index_Methodology_Book_삼성_(20230425)_v2.1.pdf,etfs\raw\methodologies\385600_8ae0b61a17ae.pdf,
469150,ACE AI반도체TOP3+,downloaded,FnGuide AI Semiconductor TOP3 Plus Price Return Index,September 2023,keyword_theme,quarterly,"3,6,9,12",선물옵션 만기일(D) 이후 2영업일째(D+2)에 정기 개편을 수행합니다,3,equal_weighted,,True,True,True,False,True,17,23213,https://file.fnguide.com/fnindex/files/FnGuide_AI_Semiconductor_TOP3_Plus_Price_Return_Index_Methodology_Book_(20230920)_v1.5.pdf,etfs\raw\methodologies\469150_466c302826ee.pdf,
226380,ACE Fn성장소비주도주,downloaded,FnGuide Growth and Consumption-Driven Stock Index,September 2020,equal_weight,semiannual,"6,12","종목 선정일 및 개편 일정 FnGuide 성장소비주도 지수의 구성 종목 선정은 6월과 12월 (연 2회) KOSPI200 옵션 만기일 다음주 목요일(휴장인 경우 직전 영업일)을 기준으로 하며, 옵션만기일 다음주...",45,equal_weighted,,True,True,True,True,True,16,20937,https://file.fnguide.com/fnindex/files/FnGuide_성장소비주도_Index_Methodology_Book_한투_(20200902)_v2.4.pdf,etfs\raw\methodologies\226380_7e2103f24d78.pdf,
0177X0,ACE K휴머노이드로봇산업TOP2+,downloaded,FnGuide AI Semiconductor TOP2+ Index,April 2026,keyword_theme,semiannual,"6,12",선물옵션 만기일(D) 이후 2영업일째(D+2)에 정기변경을 수행합니다,2,float_market_cap_weighted,25%,True,True,True,True,True,17,22577,https://file.fnguide.com/fnindex/files/FnGuide_AI_Semiconductor_TOP2_Index_Methodology_Book_(20260406)_v2.5.pdf,etfs\raw\methodologies\0177X0_2dc046e4ab51.pdf,
380340,ACE 코리아AI테크핵심산업,downloaded,FnGuide Korea AI Tech Core Industry Index,December 2025,keyword_theme,semiannual,"6,12",선물옵션 만기일(D) 이후 2영업일째(D+2)에 정기변경을 수행합니다,3,float_market_cap_weighted,20%,True,True,True,True,True,20,25500,https://file.fnguide.com/fnindex/files/FnGuide_Korea AI Tech Core Industry_Index_Methodology_Book_(20251201)_v1.0.pdf,etfs\raw\methodologies\380340_a0fd547b69bf.pdf,
466810,BNK 2차전지양극재,downloaded,FnGuide Secondary Battery Industry Index,April 2023,keyword_theme,quarterly,"3,6,9,12",선물옵션 만기일 익주 첫 번째 영업일부터 세 번째 영업일까지 정기 변경을 수행합니다,25,score_weighted,20%,True,True,True,True,False,13,15188,https://file.fnguide.com/fnindex/files/FnGuide_Secondary_Battery_Industry_Index_Methodology_Book_삼성_(20230425)_v2.1.pdf,etfs\raw\methodologies\466810_8ae0b61a17ae.pdf,
487750,BNK 온디바이스AI,downloaded,FnGuide On-Device AI Index,June 2024,equal_weight,semiannual,"6,12",선물옵션 만기일(D) 이후 2영업일째(D+2)에 정기변경을 수행합니다,,equal_weighted,20%,True,True,True,True,True,18,22806,https://file.fnguide.com/fnindex/files/FnGuide_On-Device_AI_Index_Methodology_Book_(20240613)_v1.1.pdf,etfs\raw\methodologies\487750_d51284e3ed0e.pdf,
486240,DAISHIN343 AI반도체&인프라액티브,downloaded,FnGuide AI Semiconductor & Infrastructure Index,April 2024,keyword_theme,quarterly,"3,6,9,12",선물옵션 만기일(D) 이후 2영업일째(D+2)에 정기변경을 수행합니다,4,equal_weighted,,True,True,True,True,True,20,25311,https://file.fnguide.com/fnindex/files/FnGuide_AI_Semiconductor & Infrastructure_Index_Methodology_Book_(20240418)_v2.0.pdf,etfs\raw\methodologies\486240_374de20750a1.pdf,
