etf_code,etf_name,holdings_file,holdings_latest_as_of,holdings_row_count,methodology_pdf_status,methodology_structured_status,index_code,index_name,rebalance_frequency,rebalance_months,rebalance_timing,rebalance_date_status,weighting_scheme,weight_cap,readiness,next_action,missing_data,review_flags
0000J0,PLUS 한화그룹주,etfs/output/files/holdings_0000J0.parquet,2026-06-16,4106,downloaded,draft_review_required,FI00.WLT.HWG,FnGuide Hanwha Group Index,semiannual,"6,12",2영업일 째(D+2)에 정기 변경을 수행합니다,requires_calendar,float_market_cap_weighted,20%,,,constituent_universe|corporate_actions|free_float_ratio|krx_trading_calendar|listed_shares|market_cap|stock_prices|trading_value_liquidity,date_resolution_missing:krx_trading_calendar|selection.total_constituents not extracted with evidence|status=draft_extracted|weight cap exists in rules but residual/fixed bucket scope is unresolved
0001P0,마이티 바이오시밀러&CDMO액티브,etfs/output/files/holdings_0001P0.parquet,2026-06-16,7510,downloaded,draft_review_required,,FnGuide Bio Similar & CDMO Index,semiannual,"6,12",선물옵션 만기일(D) 이후 2영업일째(D+2)에 정기변경을 수행합니다,requires_calendar,float_market_cap_weighted,22%,,,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity,date_resolution_missing:futures_options_expiry_calendar|date_resolution_missing:krx_trading_calendar|weight_cap_scope_requires_review
0005D0,SOL 전고체배터리&실리콘음극재,etfs/output/files/holdings_0005D0.parquet,2026-06-16,3839,downloaded,draft_review_required,,FnGuide All-Solid-State Battery & Silicon Anode Index,quarterly,"3,6,9,12",선물옵션 만기일(D) 이후 2영업일 째(D+2)에 정기변경을 수행합니다,requires_calendar,float_market_cap_weighted,20%,,,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity,date_resolution_missing:futures_options_expiry_calendar|date_resolution_missing:krx_trading_calendar|weight_cap_scope_requires_review
0005G0,IBK K-AI반도체코어테크,etfs/output/files/holdings_0005G0.parquet,2026-06-16,7014,downloaded,draft_review_required,,FnGuide K-AI Semiconductor Core Technology Index,semiannual,"6,12",선물옵션 만기일(D) 이후 2영업일째(D+2)에 정기변경을 수행합니다,requires_calendar,float_market_cap_weighted,20%,,,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity,date_resolution_missing:futures_options_expiry_calendar|date_resolution_missing:krx_trading_calendar|weight_cap_scope_requires_review
0008T0,SOL 화장품TOP3플러스,etfs/output/files/holdings_0008T0.parquet,2026-06-16,3729,downloaded,draft_review_required,,FnGuide Cosmetics TOP3 Plus Index,quarterly,"1,4,7,10",2영업일 째(D+2)에 정기변경을 수행합니다,requires_calendar,float_market_cap_weighted,20%,,,constituent_universe|corporate_actions|free_float_ratio|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity,date_resolution_missing:krx_trading_calendar|weight_cap_scope_requires_review
0019K0,TIME 미국나스닥100채권혼합50액티브,etfs/output/files/holdings_0019K0.parquet,2026-06-16,12915,downloaded,draft_review_required,FI00.MIX.NDX,FnGuide Nasdaq100 Balanced 50 Index,unknown,,개편 일정 FnGuide 나스닥100 채권혼합50 지수는 하위 지수인 NASDAQ100(TR) 지수와 KIS 국채 3- 10년(총수익) 지수의 비중이 5:5이 되도록 구성합니다. 하위 지수의 편입비중은 매일 동...,missing_methodology_rule,unknown,,,,constituent_universe|corporate_actions|krx_trading_calendar|listed_shares|stock_prices,date_resolution_missing:krx_trading_calendar|rebalance_rule_missing_or_ambiguous|selection.total_constituents not extracted with evidence|status=draft_extracted
0080Y0,SOL 조선TOP3플러스레버리지,etfs/output/files/holdings_0080Y0.parquet,2026-06-16,3575,downloaded,draft_review_required,FI00.WLT.L08,FnGuide Shipbuilding TOP3 Plus Leverage(2x) Index,semiannual,"5,11",storage or retrieval system nor should the material be disclosed to third parties without the written authorization o...,requires_calendar,market_cap_weighted,,,,constituent_universe|corporate_actions|free_float_ratio|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices,date_resolution_missing:krx_trading_calendar|selection.total_constituents not extracted with evidence|status=draft_extracted
0092B0,SOL 한국원자력SMR,etfs/output/files/holdings_0092B0.parquet,2026-06-16,2600,downloaded,draft_review_required,FI00.WLT.KNS,FnGuide KOREA Nuclear Power SMR Index,semiannual,"6,12",선물옵션 만기일(D) 이후 2영업일 째(D+2)에 정기변경을 수행합니다,requires_calendar,float_market_cap_weighted,,,,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity,date_resolution_missing:futures_options_expiry_calendar|date_resolution_missing:krx_trading_calendar|selection.total_constituents not extracted with evidence|status=draft_extracted
0093A0,RISE AI반도체TOP10,etfs/output/files/holdings_0093A0.parquet,2026-06-16,2145,downloaded,draft_review_required,,FnGuide AI Semiconductor TOP10 Index,quarterly,"1,4,7,10",선물옵션 만기일(D) 이후 2영업일째(D+2)에 정기변경을 수행합니다,requires_calendar,float_market_cap_weighted,15%,,,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity,date_resolution_missing:futures_options_expiry_calendar|date_resolution_missing:krx_trading_calendar|weight_cap_scope_requires_review
0098N0,PLUS 자사주매입고배당주,etfs/output/files/holdings_0098N0.parquet,2026-06-16,5580,downloaded,draft_review_required,FI00.WLT.HDP,FnGuide High Dividend Stocks Plus Buyback Index,semiannual,"6,12",5영업일째 되는 날(T+4)에 정기변경을 실시합니다,requires_calendar,market_cap_weighted,,,,constituent_universe|corporate_actions|dividend_data|free_float_ratio|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity,date_resolution_missing:krx_trading_calendar|selection.total_constituents not extracted with evidence|status=draft_extracted
